friend,"a person who you like and enjoy being with; a person who helps or supports someone or something",,
welcome,"to greet (someone) in a warm and friendly manner; to receive or accept (something) with happiness or pleasure",,
manner,"the way that a person normally behaves with other people, the way that something is done or happens",,
matter,"the situation or subject that is being discussed or dealt with; something that is being done, talked about, or thought about",,
treat,"to pay for someone's food, drink, or entertainment; to deal with or think about (something) especially in a particular way",,
act,"anything done, being done, or to be done; one of the main episode of a play or opera",,
goon,"a person who is hired to threaten, beat up, or kill someone; a stupid person",,
rest,"to spend time relaxing, sleeping, or doing nothing after you have been active or doing work",,
greet,"  to address with expression of kind wishes upon meeting or arrival <greeted guests at the door>","verb (used with object) 1.to address with some form of salutation; welcome. 2.to meet or receive: to be greeted by cheering crowds; to greet a proposal with boos and hisses.3.to manifest itself to: Music greeted his ear as he entered the salon.verb (used without object) 4.Obsolete. to give salutations on meeting.","greet Â (grēt)tr.v.  greetÂ·ed, greetÂ·ing, greets 1.  To salute or welcome in a friendly and respectful way with speech or writing, as upon meeting or in starting a letter.2.  To receive with a specified reaction: greet a joke with laughter.3.  To be perceived by: A din greeted our ears.[Middle English greten, from Old English grētan.]greet′er n."
friend,"a person who you like and enjoy being with: a person who helps or supports someone or something (such as a cause or charity)","noun 1.a person attached to another by feelings of affection or personal regard. 2.a person who gives assistance; patron; supporter: friends of the Boston Symphony.3.a person who is on good terms with another; a person who is not hostile: Who goes there? Friend or foe?4.a member of the same nation, party, etc. 5.(initial capital letter) a member of the Religious Society of Friends; a Quaker. 6.a person associated with another as a contact on a social-networking website: We've never met, but we're Facebook friends.verb (used with object) 7.Rare. to befriend. 8.to add (a person) to one's list of contacts on a social-networking website: I just friended a couple of guys in my class.Idioms 9.make friends with, to enter into friendly relations with; become a friend to.","friend Â (frĕnd)n.1.  A person whom one knows, likes, and trusts.2.  A person whom one knows; an acquaintance.3.  A person with whom one is allied in a struggle or cause; a comrade.4.  One who supports, sympathizes with, or patronizes a group, cause, or movement: friends of the clean air movement.5.   Friend A member of the Society of Friends; a Quaker.tr.v.  friendÂ·ed, friendÂ·ing, friends 1.  Informal  To add (someone) as a friend on a social networking website.2.  Archaic  To befriend.Idiom:  be friends with To be a friend of: I am friends with my neighbor.[Middle English, from Old English frēond; see prÄ«- in Indo-European roots.]friend′less adj.friend′lessÂ·ness n.Word History:  The relationship between Latin amīcus, ""friend,"" and amō, ""I love,"" is clear, as is the relationship between Greek philos, ""friend,"" and phileō, ""I love."" In English, though, we have to go back a millennium before we see the verb that we can easily connect to friend. Frēond, the Old English source of Modern English friend, is related to the Old English verb frēon, ""to love, like, honor, set free (from slavery or confinement)."" Specifically, frēond comes from the present participle of the Germanic ancestor of Old English frēon and thus originally meant ""one who loves."" (The Old English verb frēon, ""to love, set free,"" by the way, survives today in Modern English as to free.) The Germanic root of frēond and frēon is *frī-, which meant ""to like, love, be friendly to."" Closely linked to these concepts is that of ""peace,"" and in fact Germanic made a noun from this root, *frithu-, meaning exactly that. Ultimately descended from this noun are the personal names Frederick, ""peaceful ruler,"" and Siegfried, ""victory peace."" The root also shows up in the name of the Germanic deity Frigg, the goddess of love, who lives on today in the word Friday, ""day of Frigg,"" from an ancient translation of Latin Veneris diēs, ""day of Venus."""
